period_s,Z_real,Z_imag,Z_err
0.003125,177.839,243.727,0.2293891629127587
0.006289308176100629,105.15,165.359,0.10740813409793666
0.012658229450408792,64.7996,101.738,0.09267032115571874
0.025,41.4004,61.6675,0.0780865922398857
0.05319148936170213,29.7012,36.936,0.038315848153652236
0.1063830013580854,22.2714,22.7231,0.04193317672512545
0.2127660027161708,17.9776,14.7938,0.0647742246572364
0.4273504273504274,14.4675,10.0619,0.022881327642591924
0.8547008547008548,11.8111,7.03765,0.024020409425733285
1.6949149669635648,9.82642,4.95059,0.028618017113182157
3.4129692832764507,8.66145,3.85605,0.03526590482998106
6.849315068493151,7.32258,3.32207,0.034736842837538764
13.698630136986303,6.06373,2.77316,0.0369132692484051
27.027027027027028,5.18676,2.6785,0.022590404293900777
54.6448087431694,3.96278,2.77194,0.022163366635584034
108.69569943291279,2.51527,2.41035,0.016767776190961967
217.3913043478261,1.49157,1.84648,0.025790567379831694
436.6812227074236,0.91532,1.21428,0.035429717925485604
877.1929824561404,0.567884,0.803195,0.028093181323006183
1754.3859649122808,0.294997,0.537535,0.03166986829995662
