Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon,Slope_mid_1_100s
Barotse Basin Western Province Zambia,8.246060493126633,176222149.01559058,,536941028.3704915,122711477.6668652,24,,,
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,,,
Central Botswana Africa,7.316699372649481,20734777.177059937,4280873.997490702,29766166.911682107,81600158.47690263,88,,,
Coffiefontain South Africa,8.310300045528981,204314902.87093645,225699632.59062335,645286935.8709167,638138060.9029305,47,,,
Hardap Region Namibia Africa,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,,,
Kalahari Game Reserve Botswana Africa,8.287670518510673,193941396.51426172,122035793.7954169,270914607.897848,251207395.89043903,84,,,
Kang to Ghazi Botswana Africa,7.5134655650392626,32618618.62530118,13416167.27563087,75223114.6044325,142076850.91785124,82,,,
Kasane Zimbabwe Africa,6.852323703165336,7117438.171570461,5506584.068868719,5324593.729813339,277922.06572051666,88,,,
Kimberley South Africa,9.067704675238875,1168704389.6151316,2389307475.5732827,448917262.76082414,81063216.74755068,80,,,
Klerksdorp South Africa,10.062640951601317,11551568335.37512,3998087888.619746,160851942040.12253,1257607916029.7664,74,,,
Kweneng Botswana Africa,7.853099773824034,71301681.81697033,49138530.416404925,125350109.9860264,169947196.03864977,47,,,
Makgadikgadi Park Botswana Africa,7.114269049511394,13009752.948497524,2612729.47234996,19484527.987230625,85954825.5525018,88,,,
Mokopane South Africa,9.141536405823732,1385276305.3166084,3608656941.6077886,2118018653.770956,635774238.7117172,88,,,
NE Namibia Africa,6.816920212450542,6560247.319273849,5789490.828340371,7173113.303306134,2585359.4513848373,80,,,
Namibia Africa,6.8338378303707215,6820839.500440171,1539189.6271412242,3985134.622092075,8617551.083473777,88,,,
Northern Namibia Africa,6.508369015183513,3223806.860643546,2260676.0967689743,6326096.522944589,4580832.561254208,84,,,
Okavango Lake Botswana Africa,7.844457744463321,69896872.59150504,76750870.83187869,70773462.74255975,31830846.744597655,87,,,
Orapa Botswana Africa,8.155350991507929,143004923.99750784,65390920.898061566,197328393.0739305,184253368.3194832,88,,,
Otjiwarongo Namibia Africa,6.756662715923806,5710349.84210407,7153774.245267429,3598156.8469444853,1570816.5157219935,80,,,
Smithfield South Africa,8.489341827965722,308561564.5699272,383723447.76440215,319072077.86337256,173386378.52456152,88,,,
South Africa,8.741840311081464,551874479.2002853,2335979673.5494685,708155239.8886791,0.0,104,,,
Southern Botswana Africa,7.597332280627925,39566923.256719865,89030678.72229782,31437566.91304744,15105734.38524741,71,,,
Tshane Botswana Africa,8.037002418201011,108893615.66367756,66245525.87764355,212707432.7295364,324965333.4411795,47,,,
Tzaneen South Africa,10.346628962658258,22214112280.191746,8788690055.498117,64527697104.5515,89019574892.66084,84,,,
Weiveld South Africa,9.920685445369775,8330775772.921716,4050361771.3550577,57881916795.52728,591209782584.813,74,,,
Windhoek Namibia Africa,8.380125452227182,239952595.66111037,266915092.72179985,233922065.49665272,16585560.650838874,47,,,
Zimbabwe Africa,9.136358586006669,1368858591.1567914,3351622010.4973674,1539426311.3948326,1464607325.2034326,47,,,
